subject,responses,word,same,version_with_order,item,Class,string,ambiguity_type,relatedness,version
p7cnykpv2k,"{""Q0"":0}",rock,False,M1_b_M2_a,113,N,rock,Homonymy,0,M1_b_M2_a
p7cnykpv2k,"{""Q0"":4}",cast,True,M1_b_M1_a,85,V,cast,Polysemy,4,M1_a_M1_b
p7cnykpv2k,"{""Q0"":4}",draw,True,M2_a_M2_b,89,V,drew,Polysemy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",fan,True,M2_b_M2_a,69,N,fan,Homonymy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":2}",issue,True,M2_a_M2_b,49,N,issue,Polysemy,2,M2_a_M2_b
p7cnykpv2k,"{""Q0"":1}",push,False,M2_a_M1_b,86,V,pushed,Polysemy,1,M1_b_M2_a
p7cnykpv2k,"{""Q0"":4}",guard,True,M2_a_M2_b,10,N,guard,Polysemy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":1}",scale,False,M1_a_M2_a,100,N,scale,Homonymy,1,M1_a_M2_a
p7cnykpv2k,"{""Q0"":3}",hail,False,M2_a_M1_b,90,V,hailed,Polysemy,3,M1_b_M2_a
p7cnykpv2k,"{""Q0"":1}",perch,False,M2_b_M1_a,105,N,perch,Homonymy,1,M1_a_M2_b
p7cnykpv2k,"{""Q0"":4}",book,False,M2_b_M1_a,1,N,book,Polysemy,4,M1_a_M2_b
p7cnykpv2k,"{""Q0"":1}",lap,False,M2_b_M1_a,109,V,lapped,Homonymy,1,M1_a_M2_b
p7cnykpv2k,"{""Q0"":3}",break,False,M1_b_M2_a,91,V,broke,Polysemy,3,M1_b_M2_a
p7cnykpv2k,"{""Q0"":4}",track,True,M1_b_M1_a,55,N,tracks,Polysemy,4,M1_a_M1_b
p7cnykpv2k,"{""Q0"":4}",intelligence,True,M2_a_M2_b,30,N,intelligence,Polysemy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":2}",mole,True,M2_a_M2_b,104,N,mole,Homonymy,2,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",cell,True,M2_a_M2_b,58,N,cell,Polysemy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":2}",act,False,M2_b_M1_b,19,N,act,Polysemy,2,M1_b_M2_b
p7cnykpv2k,"{""Q0"":1}",yard,False,M2_b_M1_a,64,N,yards,Homonymy,1,M1_a_M2_b
p7cnykpv2k,"{""Q0"":1}",call,False,M2_b_M1_b,87,V,called,Polysemy,1,M1_b_M2_b
p7cnykpv2k,"{""Q0"":3}",mold,True,M1_a_M1_b,59,N,mold,Homonymy,3,M1_a_M1_b
p7cnykpv2k,"{""Q0"":4}",charm,True,M2_a_M2_b,40,N,charm,Polysemy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",blood,True,M1_a_M1_b,23,N,blood,Polysemy,4,M1_a_M1_b
p7cnykpv2k,"{""Q0"":3}",clog,True,M1_b_M1_a,76,V,clogged,Polysemy,3,M1_a_M1_b
p7cnykpv2k,"{""Q0"":2}",guide,True,M1_a_M1_b,29,N,guide,Polysemy,2,M1_a_M1_b
p7cnykpv2k,"{""Q0"":2}",sage,False,M1_b_M2_b,70,N,sage,Homonymy,2,M1_b_M2_b
p7cnykpv2k,"{""Q0"":3}",count,True,M1_b_M1_a,67,N,count,Homonymy,3,M1_a_M1_b
p7cnykpv2k,"{""Q0"":0}",bat,False,M2_b_M1_a,56,N,bat,Homonymy,0,M1_a_M2_b
p7cnykpv2k,"{""Q0"":4}",case,True,M2_b_M2_a,24,N,case,Homonymy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",match,True,M2_b_M2_a,60,N,match,Homonymy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":2}",pick,False,M1_b_M2_a,78,V,picked,Polysemy,2,M1_b_M2_a
p7cnykpv2k,"{""Q0"":1}",movement,False,M1_a_M2_b,51,N,movement,Polysemy,1,M1_a_M2_b
p7cnykpv2k,"{""Q0"":3}",serve,True,M2_a_M2_b,92,V,served,Polysemy,3,M2_a_M2_b
p7cnykpv2k,"{""Q0"":0}",lock,False,M1_b_M2_a,108,N,locks,Homonymy,0,M1_b_M2_a
p7cnykpv2k,"{""Q0"":2}",pen,False,M1_b_M2_b,73,V,penned,Homonymy,2,M1_b_M2_b
p7cnykpv2k,"{""Q0"":3}",beam,True,M1_b_M1_a,22,N,beam,Polysemy,3,M1_a_M1_b
p7cnykpv2k,"{""Q0"":0}",function,False,M1_b_M2_a,48,N,function,Polysemy,0,M1_b_M2_a
p7cnykpv2k,"{""Q0"":4}",examination,True,M1_b_M1_a,9,N,examination,Polysemy,4,M1_a_M1_b
p7cnykpv2k,"{""Q0"":3}",course,False,M1_a_M2_a,44,N,course,Polysemy,3,M1_a_M2_a
p7cnykpv2k,"{""Q0"":1}",tap,False,M1_b_M2_b,107,V,tapped,Homonymy,1,M1_b_M2_b
p7cnykpv2k,"{""Q0"":4}",check,True,M1_b_M1_a,93,V,checked,Polysemy,4,M1_a_M1_b
p7cnykpv2k,"{""Q0"":2}",bail,False,M1_a_M2_a,112,V,bailed,Homonymy,2,M1_a_M2_a
p7cnykpv2k,"{""Q0"":3}",market,True,M2_b_M2_a,31,N,market,Polysemy,3,M2_a_M2_b
p7cnykpv2k,"{""Q0"":0}",pupil,True,M2_a_M2_b,61,N,pupil,Homonymy,0,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",orange,False,M2_a_M1_b,32,N,orange,Polysemy,4,M1_b_M2_a
p7cnykpv2k,"{""Q0"":4}",tick,True,M2_a_M2_b,63,N,tick,Homonymy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":3}",jam,True,M2_b_M2_a,99,N,jam,Homonymy,3,M2_a_M2_b
p7cnykpv2k,"{""Q0"":0}",racket,False,M1_b_M2_b,71,N,racket,Homonymy,0,M1_b_M2_b
p7cnykpv2k,"{""Q0"":2}",drill,False,M2_b_M1_a,65,N,drill,Homonymy,2,M1_a_M2_b
p7cnykpv2k,"{""Q0"":4}",palm,True,M2_a_M2_b,101,N,palm,Homonymy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",atmosphere,False,M2_a_M1_a,20,N,atmosphere,Polysemy,4,M1_a_M2_a
p7cnykpv2k,"{""Q0"":2}",date,False,M2_a_M1_b,45,N,date,Polysemy,2,M1_b_M2_a
p7cnykpv2k,"{""Q0"":1}",band,False,M2_a_M1_a,97,N,band,Homonymy,1,M1_a_M2_a
p7cnykpv2k,"{""Q0"":2}",appeal,False,M2_a_M1_b,37,N,appeal,Polysemy,2,M1_b_M2_a
p7cnykpv2k,"{""Q0"":4}",sing,False,M1_a_M2_a,94,V,sang,Polysemy,4,M1_a_M2_a
p7cnykpv2k,"{""Q0"":4}",toast,False,M2_a_M1_b,72,V,toasted,Homonymy,4,M1_b_M2_a
p7cnykpv2k,"{""Q0"":3}",bank,False,M2_b_M1_b,74,V,banked,Homonymy,3,M1_b_M2_b
p7cnykpv2k,"{""Q0"":4}",medicine,False,M1_b_M2_a,14,N,medicine,Polysemy,4,M1_b_M2_a
p7cnykpv2k,"{""Q0"":4}",newspaper,False,M2_b_M1_b,16,N,newspaper,Polysemy,4,M1_b_M2_b
p7cnykpv2k,"{""Q0"":2}",dream,False,M1_b_M2_b,8,N,dream,Polysemy,2,M1_b_M2_b
p7cnykpv2k,"{""Q0"":2}",toll,True,M1_a_M1_b,103,N,toll,Homonymy,2,M1_a_M1_b
p7cnykpv2k,"{""Q0"":4}",degree,True,M2_a_M2_b,46,N,degrees,Polysemy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",pitcher,True,M2_a_M2_b,102,N,pitcher,Homonymy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",cold,True,M2_b_M2_a,41,N,cold,Polysemy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":1}",board,False,M1_a_M2_a,39,N,board,Polysemy,1,M1_a_M2_a
p7cnykpv2k,"{""Q0"":3}",tip,True,M2_a_M2_b,111,N,tip,Homonymy,3,M2_a_M2_b
p7cnykpv2k,"{""Q0"":3}",title,False,M1_a_M2_a,36,N,title,Polysemy,3,M1_a_M2_a
p7cnykpv2k,"{""Q0"":0}",punch,False,M2_a_M1_a,106,N,punch,Homonymy,0,M1_a_M2_a
p7cnykpv2k,"{""Q0"":1}",post,False,M1_b_M2_b,114,N,post,Homonymy,1,M1_b_M2_b
p7cnykpv2k,"{""Q0"":4}",cone,True,M2_b_M2_a,26,N,cone,Polysemy,4,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",ground,False,M1_b_M2_b,28,N,ground,Polysemy,4,M1_b_M2_b
p7cnykpv2k,"{""Q0"":1}",film,False,M1_b_M2_b,27,N,film,Polysemy,1,M1_b_M2_b
p7cnykpv2k,"{""Q0"":3}",passage,True,M2_b_M2_a,53,N,passage,Polysemy,3,M2_a_M2_b
p7cnykpv2k,"{""Q0"":1}",barrier,False,M1_a_M2_b,21,N,barrier,Polysemy,1,M1_a_M2_b
p7cnykpv2k,"{""Q0"":3}",panel,True,M2_a_M2_b,52,N,panel,Polysemy,3,M2_a_M2_b
p7cnykpv2k,"{""Q0"":4}",home,False,M2_a_M1_b,11,N,home,Polysemy,4,M1_b_M2_a
p7cnykpv2k,"{""Q0"":4}",chicken,False,M2_b_M1_a,3,N,chicken,Polysemy,4,M1_a_M2_b
p7cnykpv2k,"{""Q0"":2}",fix,False,M2_a_M1_a,80,V,fixed,Polysemy,2,M1_a_M2_a
p7cnykpv2k,"{""Q0"":2}",poach,False,M2_a_M1_a,75,V,poached,Homonymy,2,M1_a_M2_a
p7cnykpv2k,"{""Q0"":2}",spill,False,M1_a_M2_b,84,V,spilled,Polysemy,2,M1_a_M2_b
p7cnykpv2k,"{""Q0"":4}",clear,True,M1_a_M1_b,95,V,cleared,Polysemy,4,M1_a_M1_b
p7cnykpv2k,"{""Q0"":4}",key,False,M2_a_M1_b,50,N,key,Polysemy,4,M1_b_M2_a
p7cnykpv2k,"{""Q0"":3}",cause,True,M1_b_M1_a,25,N,cause,Polysemy,3,M1_a_M1_b
p7cnykpv2k,"{""Q0"":4}",page,True,M1_b_M1_a,110,N,page,Homonymy,4,M1_a_M1_b
p7cnykpv2k,"{""Q0"":4}",lunch,False,M1_a_M2_b,12,N,lunch,Polysemy,4,M1_a_M2_b
p7cnykpv2k,"{""Q0"":1}",column,False,M2_b_M1_a,42,N,column,Polysemy,1,M1_a_M2_b
p7cnykpv2k,"{""Q0"":1}",company,False,M2_b_M1_a,43,N,company,Polysemy,1,M1_a_M2_b
jegolbf6ol,"{""Q0"":0}",poach,False,M2_b_M1_a,75,V,poached,Homonymy,0,M1_a_M2_b
jegolbf6ol,"{""Q0"":0}",company,False,M2_a_M1_b,43,N,company,Polysemy,0,M1_b_M2_a
jegolbf6ol,"{""Q0"":2}",lamb,False,M1_a_M2_a,0,N,lamb,Polysemy,2,M1_a_M2_a
jegolbf6ol,"{""Q0"":2}",chicken,True,M2_a_M2_b,3,N,chicken,Polysemy,2,M2_a_M2_b
jegolbf6ol,"{""Q0"":1}",bank,False,M2_b_M1_a,74,V,banked,Homonymy,1,M1_a_M2_b
jegolbf6ol,"{""Q0"":1}",port,False,M2_b_M1_b,68,N,port,Homonymy,1,M1_b_M2_b
jegolbf6ol,"{""Q0"":4}",band,True,M1_b_M1_a,97,N,band,Homonymy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":3}",atmosphere,False,M2_b_M1_a,20,N,atmosphere,Polysemy,3,M1_a_M2_b
jegolbf6ol,"{""Q0"":3}",design,False,M2_a_M1_b,6,N,design,Polysemy,3,M1_b_M2_a
jegolbf6ol,"{""Q0"":2}",cold,False,M1_a_M2_a,41,N,cold,Polysemy,2,M1_a_M2_a
jegolbf6ol,"{""Q0"":0}",cell,False,M1_a_M2_a,58,N,cell,Polysemy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":4}",intelligence,False,M2_b_M1_b,30,N,intelligence,Polysemy,4,M1_b_M2_b
jegolbf6ol,"{""Q0"":0}",movement,False,M2_a_M1_b,51,N,movement,Polysemy,0,M1_b_M2_a
jegolbf6ol,"{""Q0"":4}",medicine,False,M1_a_M2_b,14,N,medicine,Polysemy,4,M1_a_M2_b
jegolbf6ol,"{""Q0"":0}",tape,False,M1_a_M2_a,54,N,tape,Polysemy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":0}",jam,False,M1_a_M2_a,99,N,jam,Homonymy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":4}",case,True,M2_a_M2_b,24,N,case,Homonymy,4,M2_a_M2_b
jegolbf6ol,"{""Q0"":2}",act,False,M1_b_M2_b,19,N,act,Polysemy,2,M1_b_M2_b
jegolbf6ol,"{""Q0"":0}",racket,False,M2_b_M1_a,71,N,racket,Homonymy,0,M1_a_M2_b
jegolbf6ol,"{""Q0"":0}",pitcher,False,M2_a_M1_a,102,N,pitcher,Homonymy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":2}",function,True,M1_a_M1_b,48,N,function,Polysemy,2,M1_a_M1_b
jegolbf6ol,"{""Q0"":1}",cape,True,M2_a_M2_b,57,N,cape,Homonymy,1,M2_a_M2_b
jegolbf6ol,"{""Q0"":3}",title,True,M2_b_M2_a,36,N,title,Polysemy,3,M2_a_M2_b
jegolbf6ol,"{""Q0"":2}",guide,False,M2_a_M1_a,29,N,guide,Polysemy,2,M1_a_M2_a
jegolbf6ol,"{""Q0"":1}",pick,False,M1_b_M2_a,78,V,picked,Polysemy,1,M1_b_M2_a
jegolbf6ol,"{""Q0"":3}",cone,False,M1_b_M2_a,26,N,cone,Polysemy,3,M1_b_M2_a
jegolbf6ol,"{""Q0"":4}",load,True,M1_a_M1_b,96,V,loaded,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":2}",bail,False,M2_b_M1_a,112,V,bailed,Homonymy,2,M1_a_M2_b
jegolbf6ol,"{""Q0"":4}",mole,True,M2_b_M2_a,104,N,mole,Homonymy,4,M2_a_M2_b
jegolbf6ol,"{""Q0"":4}",examination,True,M1_a_M1_b,9,N,examination,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":3}",clip,True,M2_b_M2_a,98,N,clip,Homonymy,3,M2_a_M2_b
jegolbf6ol,"{""Q0"":0}",post,False,M1_b_M2_a,114,N,post,Homonymy,0,M1_b_M2_a
jegolbf6ol,"{""Q0"":1}",lap,False,M1_a_M2_b,109,V,lapped,Homonymy,1,M1_a_M2_b
jegolbf6ol,"{""Q0"":2}",position,False,M1_a_M2_b,33,N,position,Polysemy,2,M1_a_M2_b
jegolbf6ol,"{""Q0"":0}",beam,False,M2_b_M1_a,22,N,beam,Polysemy,0,M1_a_M2_b
jegolbf6ol,"{""Q0"":2}",ground,True,M1_a_M1_b,28,N,ground,Polysemy,2,M1_a_M1_b
jegolbf6ol,"{""Q0"":4}",book,False,M2_b_M1_a,1,N,book,Polysemy,4,M1_a_M2_b
jegolbf6ol,"{""Q0"":2}",break,False,M1_a_M2_a,91,V,broke,Polysemy,2,M1_a_M2_a
jegolbf6ol,"{""Q0"":4}",issue,True,M1_b_M1_a,49,N,issue,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":4}",draw,True,M1_a_M1_b,89,V,drew,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":0}",stake,False,M1_a_M2_b,77,V,staked,Polysemy,0,M1_a_M2_b
jegolbf6ol,"{""Q0"":1}",push,False,M1_a_M2_b,86,V,pushed,Polysemy,1,M1_a_M2_b
jegolbf6ol,"{""Q0"":3}",blood,False,M1_b_M2_b,23,N,blood,Polysemy,3,M1_b_M2_b
jegolbf6ol,"{""Q0"":3}",dream,False,M1_a_M2_a,8,N,dream,Polysemy,3,M1_a_M2_a
jegolbf6ol,"{""Q0"":3}",dinner,True,M1_b_M1_a,7,N,dinner,Polysemy,3,M1_a_M1_b
jegolbf6ol,"{""Q0"":4}",sing,True,M1_a_M1_b,94,V,sang,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":4}",date,True,M1_b_M1_a,45,N,date,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":0}",tick,False,M2_b_M1_b,63,N,tick,Homonymy,0,M1_b_M2_b
jegolbf6ol,"{""Q0"":0}",panel,False,M2_b_M1_b,52,N,panel,Polysemy,0,M1_b_M2_b
jegolbf6ol,"{""Q0"":0}",home,False,M2_b_M1_a,11,N,home,Polysemy,0,M1_a_M2_b
jegolbf6ol,"{""Q0"":2}",palm,False,M1_a_M2_b,101,N,palm,Homonymy,2,M1_a_M2_b
jegolbf6ol,"{""Q0"":2}",hail,False,M2_a_M1_b,90,V,hailed,Polysemy,2,M1_b_M2_a
jegolbf6ol,"{""Q0"":4}",toast,True,M2_b_M2_a,72,V,toasted,Homonymy,4,M2_a_M2_b
jegolbf6ol,"{""Q0"":0}",degree,False,M2_a_M1_b,46,N,degrees,Polysemy,0,M1_b_M2_a
jegolbf6ol,"{""Q0"":1}",perch,False,M2_a_M1_b,105,N,perch,Homonymy,1,M1_b_M2_a
jegolbf6ol,"{""Q0"":2}",count,False,M2_b_M1_b,67,N,count,Homonymy,2,M1_b_M2_b
jegolbf6ol,"{""Q0"":0}",lock,False,M1_b_M2_a,108,N,locks,Homonymy,0,M1_b_M2_a
jegolbf6ol,"{""Q0"":0}",block,False,M1_b_M2_b,38,N,block,Polysemy,0,M1_b_M2_b
jegolbf6ol,"{""Q0"":3}",course,False,M1_a_M2_a,44,N,course,Polysemy,3,M1_a_M2_a
jegolbf6ol,"{""Q0"":4}",drain,False,M2_b_M1_a,88,V,drained,Polysemy,4,M1_a_M2_b
jegolbf6ol,"{""Q0"":0}",rock,False,M1_b_M2_b,113,N,rock,Homonymy,0,M1_b_M2_b
jegolbf6ol,"{""Q0"":4}",bat,True,M2_b_M2_a,56,N,bat,Homonymy,4,M2_a_M2_b
jegolbf6ol,"{""Q0"":0}",pen,False,M2_b_M1_b,73,V,penned,Homonymy,0,M1_b_M2_b
jegolbf6ol,"{""Q0"":4}",scale,True,M1_a_M1_b,100,N,scale,Homonymy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":0}",column,False,M2_a_M1_a,42,N,column,Polysemy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":0}",seal,False,M2_a_M1_a,62,N,seal,Homonymy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":4}",clear,True,M1_a_M1_b,95,V,cleared,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":1}",guard,False,M1_a_M2_b,10,N,guard,Polysemy,1,M1_a_M2_b
jegolbf6ol,"{""Q0"":4}",drill,True,M2_b_M2_a,65,N,drill,Homonymy,4,M2_a_M2_b
jegolbf6ol,"{""Q0"":2}",cross,False,M1_b_M2_b,82,V,crossed,Polysemy,2,M1_b_M2_b
jegolbf6ol,"{""Q0"":0}",sage,False,M1_a_M2_a,70,N,sage,Homonymy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":3}",board,True,M2_b_M2_a,39,N,board,Polysemy,3,M2_a_M2_b
jegolbf6ol,"{""Q0"":4}",key,True,M2_a_M2_b,50,N,key,Polysemy,4,M2_a_M2_b
jegolbf6ol,"{""Q0"":4}",clog,True,M2_b_M2_a,76,V,clogged,Polysemy,4,M2_a_M2_b
jegolbf6ol,"{""Q0"":4}",film,True,M1_a_M1_b,27,N,film,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":4}",lunch,True,M1_a_M1_b,12,N,lunch,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":1}",fix,False,M1_b_M2_b,80,V,fixed,Polysemy,1,M1_b_M2_b
jegolbf6ol,"{""Q0"":1}",call,False,M1_b_M2_b,87,V,called,Polysemy,1,M1_b_M2_b
jegolbf6ol,"{""Q0"":4}",newspaper,False,M2_b_M1_b,16,N,newspaper,Polysemy,4,M1_b_M2_b
jegolbf6ol,"{""Q0"":1}",pupil,True,M2_a_M2_b,61,N,pupil,Homonymy,1,M2_a_M2_b
jegolbf6ol,"{""Q0"":4}",class,True,M2_a_M2_b,4,N,class,Polysemy,4,M2_a_M2_b
jegolbf6ol,"{""Q0"":2}",check,True,M2_a_M2_b,93,V,checked,Polysemy,2,M2_a_M2_b
jegolbf6ol,"{""Q0"":0}",toll,False,M1_b_M2_a,103,N,toll,Homonymy,0,M1_b_M2_a
jegolbf6ol,"{""Q0"":2}",yard,False,M1_a_M2_b,64,N,yards,Homonymy,2,M1_a_M2_b
jegolbf6ol,"{""Q0"":0}",mold,True,M1_b_M1_a,59,N,mold,Homonymy,0,M1_a_M1_b
jegolbf6ol,"{""Q0"":4}",run,True,M1_a_M1_b,83,V,ran,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":4}",orange,True,M1_b_M1_a,32,N,orange,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":0}",passage,False,M1_a_M2_b,53,N,passage,Polysemy,0,M1_a_M2_b
jegolbf6ol,"{""Q0"":2}",serve,False,M1_a_M2_b,92,V,served,Polysemy,2,M1_a_M2_b
jegolbf6ol,"{""Q0"":1}",charm,False,M1_a_M2_b,40,N,charm,Polysemy,1,M1_a_M2_b
jegolbf6ol,"{""Q0"":0}",tap,False,M1_a_M2_a,107,V,tapped,Homonymy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":4}",breakfast,False,M2_b_M1_a,2,N,breakfast,Polysemy,4,M1_a_M2_b
jegolbf6ol,"{""Q0"":3}",term,False,M1_b_M2_a,35,N,term,Polysemy,3,M1_b_M2_a
jegolbf6ol,"{""Q0"":0}",file,False,M2_b_M1_b,66,N,file,Homonymy,0,M1_b_M2_b
jegolbf6ol,"{""Q0"":2}",barrier,False,M2_b_M1_a,21,N,barrier,Polysemy,2,M1_a_M2_b
jegolbf6ol,"{""Q0"":0}",match,False,M2_a_M1_a,60,N,match,Homonymy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":3}",scene,True,M1_a_M1_b,34,N,scene,Polysemy,3,M1_a_M1_b
jegolbf6ol,"{""Q0"":2}",market,False,M2_a_M1_a,31,N,market,Polysemy,2,M1_a_M2_a
jegolbf6ol,"{""Q0"":4}",foundation,True,M1_b_M1_a,47,N,foundation,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":1}",cast,False,M2_b_M1_a,85,V,cast,Polysemy,1,M1_a_M2_b
jegolbf6ol,"{""Q0"":3}",stall,False,M1_a_M2_a,79,V,stalled,Polysemy,3,M1_a_M2_a
jegolbf6ol,"{""Q0"":0}",fan,False,M2_a_M1_a,69,N,fan,Homonymy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":3}",stay,True,M2_b_M2_a,81,V,stayed,Polysemy,3,M2_a_M2_b
jegolbf6ol,"{""Q0"":4}",message,True,M1_a_M1_b,15,N,message,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":2}",cause,False,M1_a_M2_b,25,N,cause,Polysemy,2,M1_a_M2_b
jegolbf6ol,"{""Q0"":0}",punch,False,M2_a_M1_a,106,N,punch,Homonymy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":0}",page,False,M2_a_M1_a,110,N,page,Homonymy,0,M1_a_M2_a
jegolbf6ol,"{""Q0"":4}",tip,True,M1_a_M1_b,111,N,tip,Homonymy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":3}",appeal,False,M2_a_M1_b,37,N,appeal,Polysemy,3,M1_b_M2_a
jegolbf6ol,"{""Q0"":4}",track,True,M1_b_M1_a,55,N,tracks,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":4}",contribution,True,M1_a_M1_b,5,N,contribution,Polysemy,4,M1_a_M1_b
jegolbf6ol,"{""Q0"":4}",spill,True,M1_a_M1_b,84,V,spilled,Polysemy,4,M1_a_M1_b
hrjhb5c811,"{""Q0"":0}",spill,False,M2_a_M1_b,84,V,spilled,Polysemy,0,M1_b_M2_a
hrjhb5c811,"{""Q0"":3}",design,True,M1_b_M1_a,6,N,design,Polysemy,3,M1_a_M1_b
hrjhb5c811,"{""Q0"":1}",file,False,M2_b_M1_b,66,N,file,Homonymy,1,M1_b_M2_b
hrjhb5c811,"{""Q0"":4}",passage,True,M2_a_M2_b,53,N,passage,Polysemy,4,M2_a_M2_b
hrjhb5c811,"{""Q0"":0}",drain,False,M1_b_M2_a,88,V,drained,Polysemy,0,M1_b_M2_a
hrjhb5c811,"{""Q0"":2}",appeal,True,M2_b_M2_a,37,N,appeal,Polysemy,2,M2_a_M2_b
