word,sentence1,sentence2,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,Class,mean_relatedness,median_relatedness,diff,count,sd_relatedness,distance_bert,distance_elmo,se_relatedness,v1,v2,string
band,It was a gold band.,It was a country band.,False,Homonymy,gold,country,M1_a_M2_b,N,0.384615385,0.0,0.384615385,13,0.506369684,0.455853581,0.076260746,0.140441681,M1_a,M2_b,band
band,It was a rubber band.,It was a jazz band.,False,Homonymy,rubber,jazz,M1_b_M2_a,N,0.333333333,0.0,0.333333333,12,0.651338947,0.482806385,0.080441296,0.188025358,M1_b,M2_a,band
band,It was a rubber band.,It was a country band.,False,Homonymy,rubber,country,M1_b_M2_b,N,0.1,0.0,0.1,10,0.316227766,0.484228253,0.089959681,0.1,M1_b,M2_b,band
band,It was a gold band.,It was a rubber band.,True,Homonymy,gold,rubber,M1_a_M1_b,N,2.526315789,3.0,0.473684211,19,1.218761715,0.250876188,0.045372784,0.279603113,M1_a,M1_b,band
band,It was a jazz band.,It was a country band.,True,Homonymy,jazz,country,M2_a_M2_b,N,4.0,4.0,0.0,13,0.0,0.091263115,0.034426391,0.0,M2_a,M2_b,band
bank,He banked the plane.,He banked the money.,False,Homonymy,plane,money,M1_a_M2_a,V,1.0,1.0,0.0,17,1.060660172,0.323924422,0.132879496,0.257247878,M1_a,M2_a,banked
bank,He banked the plane.,He banked the cash.,False,Homonymy,plane,cash,M1_a_M2_b,V,0.733333333,1.0,0.266666667,15,0.703731551,0.273554802,0.136303425,0.181702705,M1_a,M2_b,banked
bank,He banked the helicopter.,He banked the money.,False,Homonymy,helicopter,money,M1_b_M2_a,V,0.6,1.0,0.4,10,0.516397779,0.350970745,0.146282852,0.163299316,M1_b,M2_a,banked
bank,He banked the helicopter.,He banked the cash.,False,Homonymy,helicopter,cash,M1_b_M2_b,V,1.375,1.5,0.125,8,1.302470181,0.298910558,0.146447778,0.460492749,M1_b,M2_b,banked
bank,He banked the plane.,He banked the helicopter.,True,Homonymy,plane,helicopter,M1_a_M1_b,V,3.333333333,3.5,0.166666667,12,0.778498944,0.052691579,0.030866385,0.224733287,M1_a,M1_b,banked
bank,He banked the money.,He banked the cash.,True,Homonymy,money,cash,M2_a_M2_b,V,3.533333333,4.0,0.466666667,15,0.833809388,0.071297884,0.015070319,0.215288658,M2_a,M2_b,banked
barrier,There was a police barrier.,There was a language barrier.,False,Polysemy,police,language,M1_a_M2_a,N,1.333333333,1.0,0.333333333,12,1.154700538,0.270082295,0.092094541,0.333333333,M1_a,M2_a,barrier
barrier,There was a police barrier.,There was a religious barrier.,False,Polysemy,police,religious,M1_a_M2_b,N,1.266666667,2.0,0.733333333,15,1.032795559,0.224227011,0.076318026,0.266666667,M1_a,M2_b,barrier
barrier,There was a concrete barrier.,There was a language barrier.,False,Polysemy,concrete,language,M1_b_M2_a,N,1.692307692,2.0,0.307692308,13,1.250640861,0.247155786,0.07921809,0.346865366,M1_b,M2_a,barrier
barrier,There was a concrete barrier.,There was a religious barrier.,False,Polysemy,concrete,religious,M1_b_M2_b,N,1.727272727,2.0,0.272727273,11,1.348399725,0.197422087,0.060512066,0.406557814,M1_b,M2_b,barrier
barrier,There was a police barrier.,There was a concrete barrier.,True,Polysemy,police,concrete,M1_a_M1_b,N,2.923076923,3.0,0.076923077,13,1.320450584,0.11560303,0.063831151,0.366227099,M1_a,M1_b,barrier
barrier,There was a language barrier.,There was a religious barrier.,True,Polysemy,language,religious,M2_a_M2_b,N,3.538461538,4.0,0.461538462,13,0.776250026,0.136045516,0.056087494,0.215293021,M2_a,M2_b,barrier
bat,He saw a furry bat.,He saw a wooden bat.,False,Homonymy,furry,wooden,M1_a_M2_a,N,0.0,0.0,0.0,10,0.0,0.141213,0.037469864,0.0,M1_a,M2_a,bat
bat,He saw a furry bat.,He saw a baseball bat.,False,Homonymy,furry,baseball,M1_a_M2_b,N,0.5,0.0,0.5,14,0.854850414,0.220161021,0.048564672,0.228468383,M1_a,M2_b,bat
bat,He saw a fruit bat.,He saw a wooden bat.,False,Homonymy,fruit,wooden,M1_b_M2_a,N,0.2,0.0,0.2,10,0.632455532,0.199045181,0.049907684,0.2,M1_b,M2_a,bat
bat,He saw a fruit bat.,He saw a baseball bat.,False,Homonymy,fruit,baseball,M1_b_M2_b,N,0.083333333,0.0,0.083333333,12,0.288675135,0.269888878,0.064392745,0.083333333,M1_b,M2_b,bat
bat,He saw a furry bat.,He saw a fruit bat.,True,Homonymy,furry,fruit,M1_a_M1_b,N,3.55,4.0,0.45,20,0.998683344,0.117426872,0.030932486,0.223312384,M1_a,M1_b,bat
bat,He saw a wooden bat.,He saw a baseball bat.,True,Homonymy,wooden,baseball,M2_a_M2_b,N,3.545454545,4.0,0.454545455,11,1.213559752,0.098202467,0.045940161,0.365902033,M2_a,M2_b,bat
beam,He saw the laser beam.,He saw the wood beam.,False,Polysemy,laser,wood,M1_a_M2_a,N,1.142857143,1.0,0.142857143,14,0.949262293,0.312720001,0.051152468,0.253701019,M1_a,M2_a,beam
beam,He saw the laser beam.,He saw the balance beam.,False,Polysemy,laser,balance,M1_a_M2_b,N,0.833333333,1.0,0.166666667,12,0.937436867,0.334815323,0.102861106,0.270614714,M1_a,M2_b,beam
beam,He saw the bright beam.,He saw the wood beam.,False,Polysemy,bright,wood,M1_b_M2_a,N,0.555555556,0.0,0.555555556,9,1.333333333,0.237403274,0.073608041,0.444444444,M1_b,M2_a,beam
beam,He saw the bright beam.,He saw the balance beam.,False,Polysemy,bright,balance,M1_b_M2_b,N,0.363636364,0.0,0.363636364,11,0.674199862,0.323186874,0.126451135,0.203278907,M1_b,M2_b,beam
beam,He saw the laser beam.,He saw the bright beam.,True,Polysemy,laser,bright,M1_a_M1_b,N,3.545454545,4.0,0.454545455,11,0.687551651,0.14106673,0.063059807,0.207304623,M1_a,M1_b,beam
beam,He saw the wood beam.,He saw the balance beam.,True,Polysemy,wood,balance,M2_a_M2_b,N,2.6,3.0,0.4,20,1.187655807,0.259652674,0.094416857,0.265567912,M2_a,M2_b,beam
block,She had a toy block.,She had a mental block.,False,Polysemy,toy,mental,M1_a_M2_a,N,0.538461538,0.0,0.538461538,13,0.967417922,0.344962478,0.126269341,0.268313456,M1_a,M2_a,block
block,She had a toy block.,She had a writer's block.,False,Polysemy,toy,writer,M1_a_M2_b,N,0.133333333,0.0,0.133333333,15,0.516397779,0.74992314,0.089277864,0.133333333,M1_a,M2_b,block
block,She had a wooden block.,She had a mental block.,False,Polysemy,wooden,mental,M1_b_M2_a,N,1.0,1.0,0.0,13,1.224744871,0.424544752,0.171375155,0.33968311,M1_b,M2_a,block
block,She had a wooden block.,She had a writer's block.,False,Polysemy,wooden,writer,M1_b_M2_b,N,0.2,0.0,0.2,10,0.421637021,0.747714102,0.135741949,0.133333333,M1_b,M2_b,block
block,She had a toy block.,She had a wooden block.,True,Polysemy,toy,wooden,M1_a_M1_b,N,3.8,4.0,0.2,15,0.414039336,0.149741769,0.077775836,0.106904497,M1_a,M1_b,block
block,She had a mental block.,She had a writer's block.,True,Polysemy,mental,writer,M2_a_M2_b,N,3.181818182,3.0,0.181818182,11,0.981649817,0.681398749,0.116603911,0.295978556,M2_a,M2_b,block
blood,He has coagulated blood.,He has noble blood.,False,Polysemy,coagulated,noble,M1_a_M2_a,N,1.6,2.0,0.4,15,0.985610761,0.421955585,0.150418937,0.254483604,M1_a,M2_a,blood
blood,He has coagulated blood.,He has royal blood.,False,Polysemy,coagulated,royal,M1_a_M2_b,N,2.5,2.5,0.0,8,0.9258201,0.407098174,0.148918033,0.327326835,M1_a,M2_b,blood
blood,He has thin blood.,He has noble blood.,False,Polysemy,thin,noble,M1_b_M2_a,N,2.222222222,2.0,0.222222222,9,1.6414763,0.315900445,0.075837672,0.547158767,M1_b,M2_a,blood
blood,He has thin blood.,He has royal blood.,False,Polysemy,thin,royal,M1_b_M2_b,N,2.214285714,2.0,0.214285714,14,1.121713759,0.343109667,0.086559355,0.299790612,M1_b,M2_b,blood
blood,He has coagulated blood.,He has thin blood.,True,Polysemy,coagulated,thin,M1_a_M1_b,N,3.631578947,4.0,0.368421053,19,0.955133866,0.238283217,0.115974247,0.219122737,M1_a,M1_b,blood
blood,He has noble blood.,He has royal blood.,True,Polysemy,noble,royal,M2_a_M2_b,N,3.583333333,4.0,0.416666667,12,0.792961461,0.078508019,0.045944512,0.228908257,M2_a,M2_b,blood
board,It was the ironing board.,It was the executive board.,False,Polysemy,ironing,executive,M1_a_M2_a,N,0.066666667,0.0,0.066666667,15,0.25819889,0.376005471,0.122809231,0.066666667,M1_a,M2_a,board
board,It was the ironing board.,It was the school board.,False,Polysemy,ironing,school,M1_a_M2_b,N,0.416666667,0.0,0.416666667,12,0.99620492,0.306866348,0.126246154,0.287579589,M1_a,M2_b,board
board,It was the wooden board.,It was the executive board.,False,Polysemy,wooden,executive,M1_b_M2_a,N,0.25,0.0,0.25,12,0.452267017,0.420134366,0.10416615,0.130558242,M1_b,M2_a,board
board,It was the wooden board.,It was the school board.,False,Polysemy,wooden,school,M1_b_M2_b,N,0.6,0.0,0.6,15,0.736788398,0.322381914,0.12045747,0.190237946,M1_b,M2_b,board
board,It was the ironing board.,It was the wooden board.,True,Polysemy,ironing,wooden,M1_a_M1_b,N,2.625,2.5,0.125,8,1.302470181,0.18104279,0.074928045,0.460492749,M1_a,M1_b,board
board,It was the executive board.,It was the school board.,True,Polysemy,executive,school,M2_a_M2_b,N,3.666666667,4.0,0.333333333,15,0.6172134,0.236396194,0.067143738,0.159363815,M2_a,M2_b,board
book,He had a best-selling book.,He had a heavy book.,False,Polysemy,best-selling,heavy,M1_a_M2_a,N,3.692307692,4.0,0.307692308,13,1.109400392,0.570299804,0.085380137,0.307692308,M1_a,M2_a,book
book,He had a best-selling book.,He had a leather-bound book.,False,Polysemy,best-selling,leather-bound,M1_a_M2_b,N,3.357142857,4.0,0.642857143,14,1.081817762,0.269021332,0.070268571,0.289127959,M1_a,M2_b,book
book,He had a popular book.,He had a heavy book.,False,Polysemy,popular,heavy,M1_b_M2_a,N,4.0,4.0,0.0,11,0.0,0.216969311,0.091368973,0.0,M1_b,M2_a,book
book,He had a popular book.,He had a leather-bound book.,False,Polysemy,popular,leather-bound,M1_b_M2_b,N,3.818181818,4.0,0.181818182,11,0.603022689,0.615868211,0.103061438,0.181818182,M1_b,M2_b,book
book,He had a best-selling book.,He had a popular book.,True,Polysemy,best-selling,popular,M1_a_M1_b,N,4.0,4.0,0.0,12,0.0,0.498813987,0.04464519,0.0,M1_a,M1_b,book
book,He had a heavy book.,He had a leather-bound book.,True,Polysemy,heavy,leather-bound,M2_a_M2_b,N,3.75,4.0,0.25,16,0.683130051,0.516257912,0.095530927,0.170782513,M2_a,M2_b,book
break,He broke the glass.,He broke the law.,False,Polysemy,glass,law,M1_a_M2_a,V,1.733333333,2.0,0.266666667,15,1.032795559,0.357050598,0.126903534,0.266666667,M1_a,M2_a,broke
break,He broke the glass.,He broke the promise.,False,Polysemy,glass,promise,M1_a_M2_b,V,2.357142857,3.0,0.642857143,14,1.008208072,0.405449092,0.115515828,0.269454941,M1_a,M2_b,broke
break,He broke the dish.,He broke the law.,False,Polysemy,dish,law,M1_b_M2_a,V,2.3,2.5,0.2,10,1.33749351,0.427916944,0.191336215,0.422952585,M1_b,M2_a,broke
break,He broke the dish.,He broke the promise.,False,Polysemy,dish,promise,M1_b_M2_b,V,2.3,3.0,0.7,10,1.33749351,0.477100194,0.155141354,0.422952585,M1_b,M2_b,broke
break,He broke the glass.,He broke the dish.,True,Polysemy,glass,dish,M1_a_M1_b,V,4.0,4.0,0.0,15,0.0,0.132749021,0.09671092,0.0,M1_a,M1_b,broke
break,He broke the law.,He broke the promise.,True,Polysemy,law,promise,M2_a_M2_b,V,3.692307692,4.0,0.307692308,13,0.480384461,0.33742106,0.082362115,0.133234678,M2_a,M2_b,broke
breakfast,They ate a pancake breakfast.,They ate a family breakfast.,False,Polysemy,pancake,family,M1_a_M2_a,N,3.785714286,4.0,0.214285714,14,0.578934224,0.067232728,0.018507063,0.15472668,M1_a,M2_a,breakfast
breakfast,They ate a pancake breakfast.,They ate a lonely breakfast.,False,Polysemy,pancake,lonely,M1_a_M2_b,N,3.941176471,4.0,0.058823529,17,0.242535625,0.121421158,0.046943903,0.058823529,M1_a,M2_b,breakfast
breakfast,They ate a nutritious breakfast.,They ate a family breakfast.,False,Polysemy,nutritious,family,M1_b_M2_a,N,3.666666667,4.0,0.333333333,12,1.154700538,0.09598124,0.047627091,0.333333333,M1_b,M2_a,breakfast
breakfast,They ate a nutritious breakfast.,They ate a lonely breakfast.,False,Polysemy,nutritious,lonely,M1_b_M2_b,N,3.333333333,4.0,0.666666667,9,1.118033989,0.055151522,0.046446443,0.372677996,M1_b,M2_b,breakfast
breakfast,They ate a pancake breakfast.,They ate a nutritious breakfast.,True,Polysemy,pancake,nutritious,M1_a_M1_b,N,4.0,4.0,0.0,5,0.0,0.092728674,0.054914415,0.0,M1_a,M1_b,breakfast
breakfast,They ate a family breakfast.,They ate a lonely breakfast.,True,Polysemy,family,lonely,M2_a_M2_b,N,3.8,4.0,0.2,20,0.615587011,0.090344608,0.033118784,0.13764944,M2_a,M2_b,breakfast
call,They called the landlord.,They called the loan.,False,Polysemy,landlord,loan,M1_a_M2_a,V,1.222222222,1.0,0.222222222,9,0.833333333,0.267129362,0.121238768,0.277777778,M1_a,M2_a,called
call,They called the landlord.,They called the debt.,False,Polysemy,landlord,debt,M1_a_M2_b,V,1.3,1.0,0.3,10,1.418136492,0.379179537,0.13010782,0.448454135,M1_a,M2_b,called
call,They called the police.,They called the loan.,False,Polysemy,police,loan,M1_b_M2_a,V,1.357142857,1.5,0.142857143,14,1.081817762,0.341154635,0.263126612,0.289127959,M1_b,M2_a,called
call,They called the police.,They called the debt.,False,Polysemy,police,debt,M1_b_M2_b,V,1.0,1.0,0.0,16,1.032795559,0.464733362,0.304124057,0.25819889,M1_b,M2_b,called
call,They called the landlord.,They called the police.,True,Polysemy,landlord,police,M1_a_M1_b,V,3.866666667,4.0,0.133333333,15,0.351865775,0.191510439,0.170996845,0.090851353,M1_a,M1_b,called
call,They called the loan.,They called the debt.,True,Polysemy,loan,debt,M2_a_M2_b,V,3.076923077,3.0,0.076923077,13,1.037749043,0.148041427,0.068140984,0.287819799,M2_a,M2_b,called
cape,It was a red cape.,It was a rocky cape.,False,Homonymy,red,rocky,M1_a_M2_a,N,0.090909091,0.0,0.090909091,11,0.301511345,0.281921923,0.080481112,0.090909091,M1_a,M2_a,cape
cape,It was a red cape.,It was an island cape.,False,Homonymy,red,island,M1_a_M2_b,N,0.181818182,0.0,0.181818182,11,0.404519917,0.380894959,0.073402226,0.121967344,M1_a,M2_b,cape
cape,It was a flowing cape.,It was a rocky cape.,False,Homonymy,flowing,rocky,M1_b_M2_a,N,1.0,1.0,0.0,11,1.264911064,0.272568762,0.072089553,0.381385036,M1_b,M2_a,cape
cape,It was a flowing cape.,It was an island cape.,False,Homonymy,flowing,island,M1_b_M2_b,N,0.428571429,0.0,0.428571429,14,0.937614462,0.364672005,0.081994772,0.250588006,M1_b,M2_b,cape
cape,It was a red cape.,It was a flowing cape.,True,Homonymy,red,flowing,M1_a_M1_b,N,3.266666667,4.0,0.733333333,15,1.222799287,0.081663668,0.065949082,0.315725418,M1_a,M1_b,cape
cape,It was a rocky cape.,It was an island cape.,True,Homonymy,rocky,island,M2_a_M2_b,N,2.866666667,3.0,0.133333333,15,1.245945806,0.092699349,0.054765403,0.321701824,M2_a,M2_b,cape
case,It was a beer case.,It was a divorce case.,False,Homonymy,beer,divorce,M1_a_M2_a,N,0.166666667,0.0,0.166666667,18,0.514495755,0.45721215,0.069611669,0.121267813,M1_a,M2_a,case
case,It was a beer case.,It was a criminal case.,False,Homonymy,beer,criminal,M1_a_M2_b,N,0.4,0.0,0.4,10,0.699205899,0.469730914,0.093788862,0.221108319,M1_a,M2_b,case
case,It was a display case.,It was a divorce case.,False,Homonymy,display,divorce,M1_b_M2_a,N,0.25,0.0,0.25,12,0.452267017,0.49239856,0.092166007,0.130558242,M1_b,M2_a,case
case,It was a display case.,It was a criminal case.,False,Homonymy,display,criminal,M1_b_M2_b,N,0.363636364,0.0,0.363636364,11,0.504524979,0.471332073,0.091340482,0.152120005,M1_b,M2_b,case
case,It was a beer case.,It was a display case.,True,Homonymy,beer,display,M1_a_M1_b,N,1.75,2.0,0.25,12,1.055289706,0.209219635,0.053949893,0.304635898,M1_a,M1_b,case
case,It was a divorce case.,It was a criminal case.,True,Homonymy,divorce,criminal,M2_a_M2_b,N,3.928571429,4.0,0.071428571,14,0.267261242,0.138578296,0.065858305,0.071428571,M2_a,M2_b,case
cast,She cast a shadow.,She cast a spear.,False,Polysemy,shadow,spear,M1_a_M2_a,V,0.909090909,1.0,0.090909091,11,1.221027883,0.222672522,0.137296617,0.368153759,M1_a,M2_a,cast
cast,She cast a shadow.,She cast a stone.,False,Polysemy,shadow,stone,M1_a_M2_b,V,1.142857143,1.0,0.142857143,14,1.231455852,0.194877267,0.14134413,0.32912042,M1_a,M2_b,cast
cast,She cast a glow.,She cast a spear.,False,Polysemy,glow,spear,M1_b_M2_a,V,1.461538462,1.0,0.461538462,13,1.391365314,0.262479603,0.146176755,0.385895306,M1_b,M2_a,cast
cast,She cast a glow.,She cast a stone.,False,Polysemy,glow,stone,M1_b_M2_b,V,0.941176471,1.0,0.058823529,17,1.028991511,0.268744171,0.148141026,0.249567099,M1_b,M2_b,cast
cast,She cast a shadow.,She cast a glow.,True,Polysemy,shadow,glow,M1_a_M1_b,V,3.285714286,4.0,0.714285714,7,0.951189731,0.15237397,0.058177471,0.359515925,M1_a,M1_b,cast
cast,She cast a spear.,She cast a stone.,True,Polysemy,spear,stone,M2_a_M2_b,V,3.2,3.0,0.2,15,0.941123948,0.166104376,0.054468334,0.242997159,M2_a,M2_b,cast
cause,It was a worthy cause.,It was a main cause.,False,Polysemy,worthy,main,M1_a_M2_a,N,2.272727273,2.0,0.272727273,11,1.103712743,0.331558168,0.123266876,0.332781913,M1_a,M2_a,cause
cause,It was a worthy cause.,It was a primary cause.,False,Polysemy,worthy,primary,M1_a_M2_b,N,2.352941176,2.0,0.352941176,17,1.271867548,0.408631563,0.12228179,0.308473191,M1_a,M2_b,cause
cause,It was a political cause.,It was a main cause.,False,Polysemy,political,main,M1_b_M2_a,N,2.5,2.5,0.0,12,1.087114613,0.297854483,0.101985812,0.313822957,M1_b,M2_a,cause
cause,It was a political cause.,It was a primary cause.,False,Polysemy,political,primary,M1_b_M2_b,N,2.071428571,2.0,0.071428571,14,1.384768001,0.401752174,0.095640481,0.370094816,M1_b,M2_b,cause
cause,It was a worthy cause.,It was a political cause.,True,Polysemy,worthy,political,M1_a_M1_b,N,3.461538462,4.0,0.538461538,13,0.877058019,0.155668616,0.081602454,0.243252128,M1_a,M1_b,cause
cause,It was a main cause.,It was a primary cause.,True,Polysemy,main,primary,M2_a_M2_b,N,4.0,4.0,0.0,10,0.0,0.063994706,0.017945051,0.0,M2_a,M2_b,cause
cell,It was a skin cell.,It was a prison cell.,False,Polysemy,skin,prison,M1_a_M2_a,N,0.2,0.0,0.2,10,0.421637021,0.370926499,0.16009587,0.133333333,M1_a,M2_a,cell
cell,It was a skin cell.,It was a jail cell.,False,Polysemy,skin,jail,M1_a_M2_b,N,0.428571429,0.0,0.428571429,14,0.937614462,0.376195669,0.152398884,0.250588006,M1_a,M2_b,cell
cell,It was a brain cell.,It was a prison cell.,False,Polysemy,brain,prison,M1_b_M2_a,N,0.272727273,0.0,0.272727273,11,0.646669791,0.429600775,0.125241637,0.194978278,M1_b,M2_a,cell
cell,It was a brain cell.,It was a jail cell.,False,Polysemy,brain,jail,M1_b_M2_b,N,0.133333333,0.0,0.133333333,15,0.351865775,0.417385757,0.12647438,0.090851353,M1_b,M2_b,cell
cell,It was a skin cell.,It was a brain cell.,True,Polysemy,skin,brain,M1_a_M1_b,N,3.947368421,4.0,0.052631579,19,0.229415734,0.169089794,0.058419585,0.052631579,M1_a,M1_b,cell
cell,It was a prison cell.,It was a jail cell.,True,Polysemy,prison,jail,M2_a_M2_b,N,4.0,4.0,0.0,8,0.0,0.035871804,0.007160008,0.0,M2_a,M2_b,cell
charm,She had a devilish charm.,She had a gold charm.,False,Polysemy,devilish,gold,M1_a_M2_a,N,1.0,1.0,0.0,10,0.942809042,0.240996659,0.110680997,0.298142397,M1_a,M2_a,charm
charm,She had a devilish charm.,She had a good-luck charm.,False,Polysemy,devilish,good-luck,M1_a_M2_b,N,0.727272727,0.0,0.727272727,11,0.904534034,0.661765426,0.036620796,0.272727273,M1_a,M2_b,charm
charm,She had a natural charm.,She had a gold charm.,False,Polysemy,natural,gold,M1_b_M2_a,N,0.588235294,0.0,0.588235294,17,0.71228712,0.244825065,0.154701471,0.172755002,M1_b,M2_a,charm
charm,She had a natural charm.,She had a good-luck charm.,False,Polysemy,natural,good-luck,M1_b_M2_b,N,1.285714286,1.0,0.285714286,14,1.38278267,0.672413886,0.098940611,0.369564214,M1_b,M2_b,charm
charm,She had a devilish charm.,She had a natural charm.,True,Polysemy,devilish,natural,M1_a_M1_b,N,3.846153846,4.0,0.153846154,13,0.554700196,0.062950611,0.057939589,0.153846154,M1_a,M1_b,charm
charm,She had a gold charm.,She had a good-luck charm.,True,Polysemy,gold,good-luck,M2_a_M2_b,N,3.166666667,3.5,0.333333333,12,1.114640858,0.616652161,0.07942915,0.3217691,M2_a,M2_b,charm
check,He checked the engine.,He checked the alibi.,False,Polysemy,engine,alibi,M1_a_M2_a,V,3.1,3.5,0.4,10,1.100504935,0.196067929,0.111678481,0.348010217,M1_a,M2_a,checked
check,He checked the engine.,He checked the facts.,False,Polysemy,engine,facts,M1_a_M2_b,V,2.857142857,3.0,0.142857143,14,1.292412345,0.24142921,0.137530684,0.345411728,M1_a,M2_b,checked
check,He checked the oven.,He checked the alibi.,False,Polysemy,oven,alibi,M1_b_M2_a,V,2.684210526,3.0,0.315789474,19,1.293257368,0.182829201,0.125203133,0.296693588,M1_b,M2_a,checked
